concurrency,run,rates,exp rates,hosted,failed
100,1,1.8839435053898699,2.0,3.95,0
100,2,1.9199479558182866,2.0,3.95,0
100,3,1.9379235208353185,2.0,3.94,0
100,4,1.8975497013945286,2.0,3.95,0
100,5,1.9149115504213736,2.0,3.94,0
300,1,1.8768851072506834,2.0,3.9133333333333336,0
300,2,1.9309407390086268,2.0,3.869565217391304,5
300,3,1.9163942601102595,2.0,4.3869731800766285,0
300,4,1.9384570897440054,2.0,3.9389830508474577,1
300,5,1.9281001825114095,2.0,3.89,9
500,1,1.8908352610168706,2.0,3.892,14
500,2,1.9168031645321804,2.0,3.93,1
500,3,1.927220035717601,2.0,3.92,4
500,4,1.9157839466622033,2.0,3.828,2
500,5,1.8975994854018319,2.0,3.8657314629258517,6
